asset,model,threshold,f1,precision,recall,roc_auc,hit_rate,crashes_detected,crashes_in_range,avg_lead_days
TESLA,Isolation Forest,50.0,0.0,0.0,0.0,0.6536,0.0,0,23,0.0
TESLA,LSTM Autoencoder,50.0,0.0,0.0,0.0,0.6106,0.0,0,23,0.0
TESLA,Prophet Residual,50.0,0.0,0.0,0.0,0.5822,0.0,0,23,0.0
TESLA,XGBoost Classifier,50.0,0.3069,0.3974,0.25,0.766,0.3913,9,23,0.8
TESLA,HMM Regime,60.0,0.1664,0.0939,0.7298,0.6747,0.9565,22,23,0.4
TESLA,TCN Autoencoder,50.0,0.191,0.1633,0.2298,0.6509,0.2609,6,23,0.0
TESLA,VAE Autoencoder,60.0,0.1605,0.092,0.625,0.5892,0.6522,15,23,0.0
TESLA,Anomaly Transformer,50.0,0.1571,0.0906,0.5887,0.6063,0.6087,14,23,0.0
TESLA,Baseline Ensemble,60.0,0.1642,0.0961,0.5645,0.645,0.5652,13,23,0.0
TESLA,Advanced Ensemble,60.0,0.2642,0.2664,0.2621,0.7116,0.3913,9,23,0.8
