Asset,Original_ADF_pvalue,Original_Stationary,d_used,Final_ADF_pvalue,Final_Stationary
SP500,0.9973350629977037,False,1,3.676723128265767e-23,True
VIX,2.467678584152554e-06,True,0,2.467678584152554e-06,True
BTC,0.6868290226021825,False,1,4.049977458239144e-17,True
GOLD,1.0,False,1,5.5504981600062116e-15,True
NASDAQ,0.9980324672097193,False,1,3.145189653130232e-22,True
TESLA,0.8512713188333474,False,1,2.8470735119504422e-21,True
